spot_location_1,spot_location_2,spot_location_3,gene,is_noise,clustermap
89,535,25,1,-1,-1.0
100,583,23,1,0,74.0
110,374,25,1,0,1136.0
121,397,25,1,0,-1.0
238,120,24,1,0,723.0
271,675,24,1,-1,-1.0
297,652,24,1,0,601.0
300,699,24,1,0,61.0
328,273,24,1,0,396.0
333,778,24,1,0,29.0
344,841,23,1,0,1132.0
370,119,26,1,-1,-1.0
387,85,24,1,0,975.0
600,495,24,1,0,8.0
608,477,25,1,0,223.0
647,101,24,1,-1,-1.0
649,588,24,1,0,1139.0
689,594,25,1,0,212.0
694,552,25,1,0,695.0
767,19,24,1,0,11.0
767,537,24,1,0,250.0
798,511,24,1,0,1413.0
798,774,24,1,-1,-1.0
886,533,24,1,0,398.0
889,536,28,1,0,398.0
894,525,25,1,0,398.0
899,740,24,1,-1,-1.0
908,541,24,1,0,216.0
911,949,23,1,0,225.0
921,536,24,1,0,405.0
934,956,26,1,0,225.0
937,558,23,1,0,1434.0
940,543,25,1,0,405.0
953,541,25,1,-1,-1.0
978,579,23,1,0,1434.0
981,580,24,1,0,1434.0
994,875,26,1,0,1509.0
17,544,25,1,0,33.0
26,513,27,1,0,33.0
27,280,26,1,0,665.0
32,551,25,1,0,635.0
38,587,25,1,-1,-1.0
50,561,26,1,0,220.0
85,573,26,1,0,1427.0
89,569,25,1,0,1427.0
95,523,26,1,-1,-1.0
100,554,25,1,0,1427.0
101,595,25,1,0,486.0
109,544,26,1,0,1427.0
112,516,26,1,0,1046.0
113,558,26,1,0,1427.0
122,539,25,1,-1,-1.0
142,530,26,1,-1,-1.0
145,509,26,1,-1,-1.0
161,520,28,1,-1,-1.0
164,599,28,1,0,666.0
196,977,26,1,-1,-1.0
233,132,25,1,0,18.0
275,956,25,1,0,-1.0
294,1002,25,1,0,-1.0
300,663,25,1,0,375.0
314,274,25,1,0,396.0
316,689,25,1,0,61.0
325,283,25,1,0,396.0
334,674,26,1,0,387.0
373,168,28,1,0,86.0
397,395,25,1,-1,-1.0
445,683,26,1,-1,-1.0
466,617,25,1,-1,-1.0
562,469,25,1,-1,-1.0
572,177,26,1,0,52.0
603,529,25,1,0,645.0
609,471,25,1,0,223.0
611,479,25,1,0,223.0
615,497,26,1,0,349.0
626,457,25,1,0,341.0
632,538,26,1,0,30.0
668,596,25,1,0,212.0
673,568,25,1,0,111.0
676,573,25,1,0,111.0
678,548,25,1,0,-1.0
678,581,26,1,0,212.0
679,546,25,1,0,-1.0
688,564,25,1,-1,-1.0
690,551,25,1,0,695.0
696,543,26,1,0,695.0
703,455,27,1,-1,-1.0
715,544,26,1,0,695.0
